вариант       варп     замер     T_low   ошибка    ResMII   RecMII    T_high   в кор. связ.  
c1x48            8    200.11    196.00    -2.1%     196.0      4.0    200.00       да ALU    
c1x48           12    300.08    294.00    -2.0%     294.0      4.0    294.00      НЕТ ALU    
c1x48           16    400.40    392.00    -2.1%     392.0      4.0    196.00      НЕТ ALU    
c1x56            4    125.16    114.00    -8.9%     114.0      4.0    116.00      НЕТ ALU    
c1x56            8    233.57    228.00    -2.4%     228.0      4.0    232.00       да ALU    
c1x56           12    349.02    342.00    -2.0%     342.0      4.0    342.00      НЕТ ALU    
c1x56           16    465.00    456.00    -1.9%     456.0      4.0    228.00      НЕТ ALU    
c1x64            4    141.23    130.00    -8.0%     130.0      4.0    132.00      НЕТ ALU    
c1x64            8    264.16    260.00    -1.6%     260.0      4.0    264.00       да ALU    
c1x64           12    396.07    390.00    -1.5%     390.0      4.0    390.00       да ALU    
c1x64           16    528.14    520.00    -1.5%     520.0      4.0    260.00      НЕТ ALU    
c1x72            4    157.18    146.00    -7.1%     146.0      4.0    148.00      НЕТ ALU    
c1x72            8    298.06    292.00    -2.0%     292.0      4.0    296.00       да ALU    
c1x72           12    444.07    438.00    -1.4%     438.0      4.0    438.00       да ALU    
c1x72           16    592.27    584.00    -1.4%     584.0      4.0    292.00      НЕТ ALU    
c1x8             4     31.07     18.00   -42.1%      18.0      4.0     20.00      НЕТ ALU    
c1x8             8     45.07     36.00   -20.1%      36.0      4.0     40.00      НЕТ ALU    
c1x8            12     61.56     54.00   -12.3%      54.0      4.0     54.00      НЕТ ALU    
c1x8            16     81.57     72.00   -11.7%      72.0      4.0     36.00      НЕТ ALU    
c1x80            4    173.24    162.00    -6.5%     162.0      4.0    164.00      НЕТ ALU    
c1x80            8    329.18    324.00    -1.6%     324.0      4.0    328.00       да ALU    
c1x80           12    492.98    486.00    -1.4%     486.0      4.0    486.00       да ALU    
c1x80           16    656.32    648.00    -1.3%     648.0      4.0    324.00      НЕТ ALU    
c1x88            4    191.23    178.00    -6.9%     178.0      4.0    180.00      НЕТ ALU    
c1x88            8    360.20    356.00    -1.2%     356.0      4.0    360.00       да ALU    
c1x88           12    540.12    534.00    -1.1%     534.0      4.0    534.00       да ALU    
c1x88           16    720.77    712.00    -1.2%     712.0      4.0    356.00      НЕТ ALU    
c1x96            4    205.34    194.00    -5.5%     194.0      4.0    196.00      НЕТ ALU    
c1x96            8    392.83    388.00    -1.2%     388.0      4.0    392.00       да ALU    
c1x96           12    588.22    582.00    -1.1%     582.0      4.0    582.00       да ALU    
c1x96           16    784.72    776.00    -1.1%     776.0      4.0    388.00      НЕТ ALU    
c2               4     26.08      6.00   -77.0%       6.0      0.0     13.00      НЕТ ISSUE  
c2               8     32.08     12.00   -62.6%      12.0      0.0     14.00      НЕТ ISSUE  
c2              12     36.06     18.00   -50.1%      18.0      0.0     20.96      НЕТ ISSUE  
c2              16     40.91     24.00   -41.3%      24.0      0.0     26.15      НЕТ ISSUE  
c2x8             4     47.07     34.00   -27.8%      34.0      8.0     36.00      НЕТ ALU    
c2x8             8     72.07     68.00    -5.7%      68.0      8.0     72.00       да ALU    
c2x8            12    108.06    102.00    -5.6%     102.0      8.0    102.00      НЕТ ALU    
c2x8            16    144.86    136.00    -6.1%     136.0      8.0     68.00      НЕТ ALU    
c32              4    135.09    128.00    -5.2%      66.0    128.0    128.00      НЕТ ALU    
c32              8    143.09    132.00    -7.7%     132.0    128.0    135.07      НЕТ ALU    
c32             12    208.36    198.00    -5.0%     198.0    128.0    198.00      НЕТ ALU    
c32             16    276.07    264.00    -4.4%     264.0    128.0    132.00      НЕТ ALU    
c32x1            4    135.09    128.00    -5.2%      66.0    128.0    128.00      НЕТ ALU    
