вариант       варп     замер     T_low   ошибка    ResMII   RecMII    T_high   в кор. связ.  
h8+i24          16    371.37    256.00   -31.1%     256.0     16.0    265.33      НЕТ TENSOR 
h8+i4            4     81.04     64.00   -21.0%      64.0     16.0     70.00      НЕТ TENSOR 
h8+i4            8    142.09    128.00    -9.9%     128.0     16.0    129.07      НЕТ TENSOR 
h8+i4           12    220.13    192.00   -12.8%     192.0     16.0    199.56      НЕТ TENSOR 
h8+i4           16    296.18    256.00   -13.6%     256.0     16.0    257.44      НЕТ TENSOR 
h8+i6            4     83.04     64.00   -22.9%      64.0     16.0     70.00      НЕТ TENSOR 
h8+i6            8    140.09    128.00    -8.6%     128.0     16.0    124.93      НЕТ TENSOR 
h8+i6           12    223.14    192.00   -14.0%     192.0     16.0    199.56      НЕТ TENSOR 
h8+i6           16    297.85    256.00   -14.1%     256.0     16.0    259.11      НЕТ TENSOR 
h8+i8            4     85.04     64.00   -24.7%      64.0     16.0     70.00      НЕТ TENSOR 
h8+i8            8    144.09    128.00   -11.2%     128.0     16.0    130.33      НЕТ TENSOR 
h8+i8           12    225.15    192.00   -14.7%     192.0     16.0    199.56      НЕТ TENSOR 
h8+i8           16    306.33    256.00   -16.4%     256.0     16.0    261.56      НЕТ TENSOR 
h8+i8+c8         4    110.04     64.00   -41.8%      64.0     32.0     98.00      НЕТ TENSOR 
h8+i8+c8         8    171.53    128.00   -25.4%     128.0     32.0    142.41      НЕТ TENSOR 
h8+i8+c8        12    282.90    192.00   -32.1%     192.0     32.0    192.00      НЕТ TENSOR 
h8+i8+c8        16    410.52    256.00   -37.6%     256.0     32.0    266.15      НЕТ TENSOR 
h8+i8+s4x64      4     92.05     64.00   -30.5%      64.0     16.0     80.00      НЕТ TENSOR 
h8+i8+s4x64      8    158.09    128.00   -19.0%     128.0     16.0    135.11      НЕТ TENSOR 
h8+i8+s4x64     12    246.16    192.00   -22.0%     192.0     16.0    198.00      НЕТ TENSOR 
h8+i8+s4x64     16    330.99    256.00   -22.7%     256.0     16.0    201.04      НЕТ TENSOR 
h8+s16x32        4    141.08     64.00   -54.6%      64.0     32.0    135.00      НЕТ MIO    
h8+s16x32        8    187.34    128.00   -31.7%     128.0     32.0    186.00       да MIO    
h8+s16x32       12    294.50    192.00   -34.8%     192.0     32.0    212.15      НЕТ MIO    
h8+s16x32       16    403.50    256.00   -36.6%     256.0     32.0    309.56      НЕТ MIO    
h8+s1x128        4     83.05     64.00   -22.9%      64.0     16.0     70.00      НЕТ TENSOR 
h8+s1x128        8    136.09    128.00    -5.9%     128.0     16.0    134.00       да TENSOR 
h8+s1x128       12    204.16    192.00    -6.0%     192.0     16.0    192.00      НЕТ TENSOR 
h8+s1x128       16    287.25    256.00   -10.9%     256.0     16.0    260.00      НЕТ TENSOR 
h8+s1x32         4     80.05     64.00   -20.1%      64.0     16.0     69.00      НЕТ TENSOR 
h8+s1x32         8    134.09    128.00    -4.5%     128.0     16.0    134.00       да TENSOR 
h8+s1x32        12    201.18    192.00    -4.6%     192.0     16.0    201.00       да TENSOR 
h8+s1x32        16    281.25    256.00    -9.0%     256.0     16.0    260.00      НЕТ TENSOR 
h8+s1x64         4     81.05     64.00   -21.0%      64.0     16.0     70.00      НЕТ TENSOR 
h8+s1x64         8    132.09    128.00    -3.1%     128.0     16.0    134.00       да TENSOR 
h8+s1x64        12    198.16    192.00    -3.1%     192.0     16.0    195.00       да TENSOR 
h8+s1x64        16    279.23    256.00    -8.3%     256.0     16.0    260.00      НЕТ TENSOR 
h8+s2x128        4     91.05     64.00   -29.7%      64.0     16.0     75.00      НЕТ TENSOR 
h8+s2x128        8    148.08    128.00   -13.6%     128.0     16.0    130.00      НЕТ TENSOR 
h8+s2x128       12    222.18    192.00   -13.6%     192.0     16.0    198.00      НЕТ TENSOR 
h8+s2x128       16    313.14    256.00   -18.2%     256.0     16.0    260.00      НЕТ TENSOR 
h8+s2x32         4    107.05     64.00   -40.2%      64.0     16.0    100.00      НЕТ TENSOR 
h8+s2x32         8    137.10    128.00    -6.6%     128.0     16.0    130.00      НЕТ TENSOR 
h8+s2x32        12    205.96    192.00    -6.8%     192.0     16.0    193.15      НЕТ TENSOR 
h8+s2x32        16    310.50    256.00   -17.6%     256.0     16.0    261.89      НЕТ TENSOR 
h8+s2x64         4     81.05     64.00   -21.0%      64.0     16.0     73.00      НЕТ TENSOR 
h8+s2x64         8    130.09    128.00    -1.6%     128.0     16.0    134.00       да TENSOR 
h8+s2x64        12    209.21    192.00    -8.2%     192.0     16.0    192.00      НЕТ TENSOR 
h8+s2x64        16    279.29    256.00    -8.3%     256.0     16.0    260.00      НЕТ TENSOR 
h8+s4x128        4    156.09     64.00   -59.0%      64.0     32.0    139.00      НЕТ TENSOR 
h8+s4x128        8    185.00    128.00   -30.8%     128.0     32.0    154.00      НЕТ TENSOR 
h8+s4x128       12    247.24    192.00   -22.3%     192.0     32.0    212.22      НЕТ TENSOR 
h8+s4x128       16    329.68    256.00   -22.3%     256.0     32.0    279.44      НЕТ TENSOR 
h8+s4x32         4    134.05     64.00   -52.3%      64.0     16.0    131.00      НЕТ TENSOR 
h8+s4x32         8    151.11    128.00   -15.3%     128.0     16.0    134.00      НЕТ TENSOR 
h8+s4x32        12    219.17    192.00   -12.4%     192.0     16.0    198.00      НЕТ TENSOR 
h8+s4x32        16    305.00    256.00   -16.1%     256.0     16.0    256.70      НЕТ TENSOR 
h8+s4x64         4    115.05     64.00   -44.4%      64.0     16.0    101.00      НЕТ TENSOR 
h8+s4x64         8    145.44    128.00   -12.0%     128.0     16.0    130.00      НЕТ TENSOR 
h8+s4x64        12    234.70    192.00   -18.2%     192.0     16.0    201.00      НЕТ TENSOR 
h8+s4x64        16    324.22    256.00   -21.0%     256.0     16.0    260.00      НЕТ TENSOR 
h8+s8x128        4    170.24     64.00   -62.4%      64.0     64.0    178.00       да MIO    
h8+s8x128        8    299.20    128.00   -57.2%     128.0     64.0    258.00      НЕТ MIO    
h8+s8x128       12    436.48    192.00   -56.0%     192.0     64.0    384.00      НЕТ MIO    
h8+s8x128       16    561.60    256.00   -54.4%     256.0     64.0    516.00      НЕТ MIO    
h8+s8x128d1      4    170.30     64.00   -62.4%      64.0     64.0    178.00       да MIO    
h8+s8x128d1      8    299.24    128.00   -57.2%     128.0     64.0    258.00      НЕТ MIO    
h8+s8x128d1     12    436.48    192.00   -56.0%     192.0     64.0    384.00      НЕТ MIO    
h8+s8x128d1     16    561.62    256.00   -54.4%     256.0     64.0    516.00      НЕТ MIO    
h8+s8x128d2      4    151.18     64.00   -57.7%      64.0     64.0    178.00       да MIO    
h8+s8x128d2      8    231.35    128.00   -44.7%     128.0     64.0    258.00       да MIO    
h8+s8x128d2     12    351.51    192.00   -45.4%     192.0     64.0    384.00       да MIO    
h8+s8x128d2     16    487.32    256.00   -47.5%     256.0     64.0    516.00       да MIO    
h8+s8x128d32     4    124.20     64.00   -48.5%      64.0     64.0    160.00       да MIO    
h8+s8x128d32     8    197.60    128.00   -35.2%     128.0     64.0    286.00       да MIO    
h8+s8x128d32    12    311.34    192.00   -38.3%     192.0     64.0    387.00       да MIO    
h8+s8x128d32    16    422.68    256.00   -39.4%     256.0     64.0    521.33       да MIO    
h8+s8x128d4      4    151.16     64.00   -57.7%      64.0     64.0    178.00       да MIO    
h8+s8x128d4      8    231.33    128.00   -44.7%     128.0     64.0    258.00       да MIO    
h8+s8x128d4     12    351.52    192.00   -45.4%     192.0     64.0    384.00       да MIO    
h8+s8x128d4     16    487.25    256.00   -47.5%     256.0     64.0    516.00       да MIO    
h8+s8x32         4    111.05     64.00   -42.4%      64.0     16.0    103.00      НЕТ TENSOR 
h8+s8x32         8    154.10    128.00   -16.9%     128.0     16.0    182.00       да TENSOR 
h8+s8x32        12    233.79    192.00   -17.9%     192.0     16.0    270.00       да TENSOR 
h8+s8x32        16    338.90    256.00   -24.5%     256.0     16.0    281.33      НЕТ TENSOR 
h8+s8x64         4    115.04     64.00   -44.4%      64.0     32.0    119.00       да TENSOR 
h8+s8x64         8    164.24    128.00   -22.1%     128.0     32.0    170.00       да TENSOR 
h8+s8x64        12    261.74    192.00   -26.6%     192.0     32.0    195.00      НЕТ TENSOR 
h8+s8x64        16    352.12    256.00   -27.3%     256.0     32.0    274.33      НЕТ TENSOR 
i1               4     26.02      6.00   -76.9%       6.0      0.0     13.00      НЕТ ISSUE  
i1               8     26.02     12.00   -53.9%      12.0      0.0     14.00      НЕТ ISSUE  
i1              12     27.03     18.00   -33.4%      18.0      0.0     20.96      НЕТ ISSUE  
i1              16     31.75     24.00   -24.4%      24.0      0.0     26.15      НЕТ ISSUE  
i16              4     45.02     34.00   -24.5%      34.0      4.0     36.00      НЕТ ALU    
i16              8     72.02     68.00    -5.6%      68.0      4.0     72.00       да ALU    
i16             12    108.03    102.00    -5.6%     102.0      4.0    102.00      НЕТ ALU    
i16             16    144.04    136.00    -5.6%     136.0      4.0     68.00      НЕТ ALU    
i2               4     28.02      6.00   -78.6%       6.0      0.0     13.00      НЕТ ISSUE  
i2               8     28.02     12.00   -57.2%      12.0      0.0     14.00      НЕТ ISSUE  
i2              12     29.45     18.00   -38.9%      18.0      0.0     20.96      НЕТ ISSUE  
i2              16     32.85     24.00   -26.9%      24.0      0.0     26.15      НЕТ ISSUE  
i32              4     77.02     66.00   -14.3%      66.0      4.0     68.00      НЕТ ALU    
i32              8    136.03    132.00    -3.0%     132.0      4.0    136.00       да ALU    
i32             12    205.03    198.00    -3.4%     198.0      4.0    198.00      НЕТ ALU    
i32             16    274.03    264.00    -3.7%     264.0      4.0    132.00      НЕТ ALU    
i4               4     26.02     10.00   -61.6%      10.0      4.0     12.00      НЕТ ALU    
i4               8     27.02     20.00   -26.0%      20.0      4.0     24.00      НЕТ ALU    
i4              12     39.60     30.00   -24.2%      30.0      4.0     30.00      НЕТ ALU    
i4              16     49.58     40.00   -19.3%      40.0      4.0     20.00      НЕТ ALU    
i8               4     29.02     18.00   -38.0%      18.0      4.0     20.00      НЕТ ALU    
i8               8     45.03     36.00   -20.0%      36.0      4.0     40.00      НЕТ ALU    
i8              12     61.04     54.00   -11.5%      54.0      4.0     54.00      НЕТ ALU    
i8              16     81.49     72.00   -11.6%      72.0      4.0     36.00      НЕТ ALU    
k8x128.st128     8   2048.06    128.00   -93.8%     128.0     64.0    160.00      НЕТ MIO    
k8x128.st128    16   4097.69    256.00   -93.8%     256.0     64.0    160.00      НЕТ MIO    
k8x128.st144     8    258.07    128.00   -50.4%     128.0     64.0    160.00      НЕТ MIO    
k8x128.st144    16    514.83    256.00   -50.3%     256.0     64.0    160.00      НЕТ MIO    
k8x128.st16      8    260.04    128.00   -50.8%     128.0     64.0    160.00      НЕТ MIO    
k8x128.st16     16    515.43    256.00   -50.3%     256.0     64.0    160.00      НЕТ MIO    
k8x128.st32      8    512.05    128.00   -75.0%     128.0     64.0    160.00      НЕТ MIO    
k8x128.st32     16   1024.38    256.00   -75.0%     256.0     64.0    160.00      НЕТ MIO    
k8x128.st32d2    8    256.05    128.00   -50.0%     128.0     64.0    160.00      НЕТ MIO    
k8x128.st32d2   16    512.12    256.00   -50.0%     256.0     64.0    160.00      НЕТ MIO    
k8x128.st32d32    8    135.10    128.00    -5.3%     128.0     64.0    160.00       да MIO    
k8x128.st32d32   16    257.91    256.00    -0.7%     256.0     64.0    160.00      НЕТ MIO    
k8x128.st32d4    8    133.78    128.00    -4.3%     128.0     64.0    160.00       да MIO    
k8x128.st32d4   16    259.23    256.00    -1.2%     256.0     64.0    160.00      НЕТ MIO    
k8x128.st64      8   1024.05    128.00   -87.5%     128.0     64.0    160.00      НЕТ MIO    
k8x128.st64     16   2050.08    256.00   -87.5%     256.0     64.0    160.00      НЕТ MIO    
k8x32.st128      8   2048.04     64.00   -96.9%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st128     16   4096.08    128.00   -96.9%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st128d16    8    128.04     64.00   -50.0%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st128d16   16    256.28    128.00   -50.1%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st128d2    8   1024.05     64.00   -93.8%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st128d2   16   2048.09    128.00   -93.8%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st128d32    8     64.81     64.00    -1.2%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st128d32   16    128.66    128.00    -0.5%     128.0     16.0    127.30       да MIO    
k8x32.st128d4    8    512.04     64.00   -87.5%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st128d4   16   1024.09    128.00   -87.5%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st128d8    8    256.04     64.00   -75.0%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st128d8   16    512.07    128.00   -75.0%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st132      8     67.74     64.00    -5.5%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st132     16    128.92    128.00    -0.7%     128.0     16.0    127.30       да MIO    
k8x32.st16       8    256.04     64.00   -75.0%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st16      16    512.09    128.00   -75.0%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st256      8   2048.04     64.00   -96.9%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st256     16   4096.08    128.00   -96.9%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st32       8    512.04     64.00   -87.5%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st32      16   1024.14    128.00   -87.5%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st4        8     67.13     64.00    -4.7%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st4       16    128.92    128.00    -0.7%     128.0     16.0    127.30       да MIO    
k8x32.st64       8   1024.04     64.00   -93.8%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st64      16   2048.09    128.00   -93.8%     128.0     16.0    127.30      НЕТ MIO    
k8x32.st8        8    128.04     64.00   -50.0%      64.0     16.0     56.00      НЕТ MIO    
k8x32.st8       16    256.18    128.00   -50.0%     128.0     16.0    127.30      НЕТ MIO    
k8x64.st128      8   2048.06     64.00   -96.9%      64.0     32.0    130.00      НЕТ MIO    
k8x64.st128     16   4096.09    128.00   -96.9%     128.0     32.0    260.00      НЕТ MIO    
k8x64.st128d2    8   1024.06     64.00   -93.8%      64.0     32.0    130.00      НЕТ MIO    
k8x64.st128d2   16   2048.10    128.00   -93.8%     128.0     32.0    260.00      НЕТ MIO    
k8x64.st128d32    8     74.04     64.00   -13.6%      64.0     32.0    130.00       да MIO    
k8x64.st128d32   16    130.22    128.00    -1.7%     128.0     32.0    260.00       да MIO    
k8x64.st16       8    256.05     64.00   -75.0%      64.0     32.0    130.00      НЕТ MIO    
k8x64.st16      16    512.08    128.00   -75.0%     128.0     32.0    260.00      НЕТ MIO    
k8x64.st32       8    512.06     64.00   -87.5%      64.0     32.0    130.00      НЕТ MIO    
k8x64.st32      16   1024.09    128.00   -87.5%     128.0     32.0    260.00      НЕТ MIO    
k8x64.st8        8    128.06     64.00   -50.0%      64.0     32.0    130.00       да MIO    
k8x64.st8       16    256.47    128.00   -50.1%     128.0     32.0    260.00       да MIO    
q12x16           4    397.46    386.00    -2.9%     386.0     48.0    387.00      НЕТ ALU    
q12x16           8    776.26    772.00    -0.5%     772.0     48.0    773.96       да ALU    
q12x16          12   1164.24   1158.00    -0.5%    1158.0     48.0   1158.00       да ALU    
q12x16          16   1553.28   1544.00    -0.6%    1544.0     48.0    772.00      НЕТ ALU    
q16x12           4    397.49    386.00    -2.9%     386.0     64.0    387.00      НЕТ ALU    
q16x12           8    776.28    772.00    -0.6%     772.0     64.0    773.96       да ALU    
q16x12          12   1164.13   1158.00    -0.5%    1158.0     64.0   1158.00       да ALU    
q16x12          16   1553.29   1544.00    -0.6%    1544.0     64.0    772.00      НЕТ ALU    
q192x1           4    775.50    768.00    -1.0%     386.0    768.0    768.00       да ALU    
q192x1           8    783.50    772.00    -1.5%     772.0    768.0    775.07       да ALU    
q192x1          12   1169.46   1158.00    -1.0%    1158.0    768.0   1158.00       да ALU    
q192x1          16   1567.78   1544.00    -1.5%    1544.0    768.0    772.00      НЕТ ALU    
q1x192           4    397.71    386.00    -2.9%     386.0      4.0    388.00      НЕТ ALU    
q1x192           8    777.51    772.00    -0.7%     772.0      4.0    776.00       да ALU    
q24x8            4    399.49    386.00    -3.4%     386.0     96.0    387.00      НЕТ ALU    
q24x8            8    776.29    772.00    -0.6%     772.0     96.0    773.96       да ALU    
q24x8           12   1164.35   1158.00    -0.5%    1158.0     96.0   1158.00       да ALU    
q24x8           16   1553.41   1544.00    -0.6%    1544.0     96.0    772.00      НЕТ ALU    
q2x96            4    397.59    386.00    -2.9%     386.0      8.0    388.00      НЕТ ALU    
q2x96            8    776.38    772.00    -0.6%     772.0      8.0    776.00       да ALU    
q2x96           12   1164.44   1158.00    -0.6%    1158.0      8.0   1158.00       да ALU    
q2x96           16   1553.30   1544.00    -0.6%    1544.0      8.0    772.00      НЕТ ALU    
q32x6            4    397.47    386.00    -2.9%     386.0    128.0    387.00      НЕТ ALU    
q32x6            8    776.27    772.00    -0.5%     772.0    128.0    773.96       да ALU    
q32x6           12   1164.14   1158.00    -0.5%    1158.0    128.0   1158.00       да ALU    
q32x6           16   1553.23   1544.00    -0.6%    1544.0    128.0    772.00      НЕТ ALU    
q3x64            4    397.53    386.00    -2.9%     386.0     12.0    388.00      НЕТ ALU    
q3x64            8    776.34    772.00    -0.6%     772.0     12.0    776.00       да ALU    
q3x64           12   1164.29   1158.00    -0.5%    1158.0     12.0   1158.00       да ALU    
q3x64           16   1553.37   1544.00    -0.6%    1544.0     12.0    772.00      НЕТ ALU    
q48x4            4    397.49    386.00    -2.9%     386.0    192.0    387.00      НЕТ ALU    
q48x4            8    776.28    772.00    -0.6%     772.0    192.0    773.96       да ALU    
q48x4           12   1164.27   1158.00    -0.5%    1158.0    192.0   1158.00       да ALU    
q48x4           16   1553.32   1544.00    -0.6%    1544.0    192.0    772.00      НЕТ ALU    
q4x48            4    397.51    386.00    -2.9%     386.0     16.0    388.00      НЕТ ALU    
q4x48            8    776.32    772.00    -0.6%     772.0     16.0    776.00       да ALU    
q4x48           12   1164.30   1158.00    -0.5%    1158.0     16.0   1158.00       да ALU    
q4x48           16   1553.34   1544.00    -0.6%    1544.0     16.0    772.00      НЕТ ALU    
q64x3            4    397.45    386.00    -2.9%     386.0    256.0    387.00      НЕТ ALU    
q64x3            8    776.25    772.00    -0.5%     772.0    256.0    773.96       да ALU    
q64x3           12   1164.13   1158.00    -0.5%    1158.0    256.0   1158.00       да ALU    
q64x3           16   1553.34   1544.00    -0.6%    1544.0    256.0    772.00      НЕТ ALU    
q6x32            4    397.50    386.00    -2.9%     386.0     24.0    387.00      НЕТ ALU    
q6x32            8    776.28    772.00    -0.6%     772.0     24.0    773.96       да ALU    
q6x32           12   1164.23   1158.00    -0.5%    1158.0     24.0   1158.00       да ALU    
q6x32           16   1553.32   1544.00    -0.6%    1544.0     24.0    772.00      НЕТ ALU    
q8x24            4    397.50    386.00    -2.9%     386.0     32.0    387.00      НЕТ ALU    
q8x24            8    776.29    772.00    -0.6%     772.0     32.0    773.96       да ALU    
q8x24           12   1164.23   1158.00    -0.5%    1158.0     32.0   1158.00       да ALU    
q8x24           16   1553.30   1544.00    -0.6%    1544.0     32.0    772.00      НЕТ ALU    
q96x2            4    399.52    386.00    -3.4%     386.0    384.0    387.00      НЕТ ALU    
q96x2            8    776.33    772.00    -0.6%     772.0    384.0    773.96       да ALU    
q96x2           12   1164.13   1158.00    -0.5%    1158.0    384.0   1158.00       да ALU    
q96x2           16   1553.48   1544.00    -0.6%    1544.0    384.0    772.00      НЕТ ALU    
s16x32           4     93.02     64.00   -31.2%      64.0     32.0     88.00      НЕТ MIO    
s16x32           8    134.04    128.00    -4.5%     128.0     32.0    127.52      НЕТ MIO    
s16x32          12    193.61    192.00    -0.8%     192.0     32.0    192.00       да MIO    
s16x32          16    256.96    256.00    -0.4%     256.0     32.0    251.74      НЕТ MIO    
s1x32            4     38.02      6.00   -84.2%       6.0      0.0     13.00      НЕТ ISSUE  
s1x32            8     38.03     12.00   -68.4%      12.0      0.0     14.00      НЕТ ISSUE  
s1x32           12     40.66     18.00   -55.7%      18.0      0.0     20.96      НЕТ ISSUE  
s1x32           16     41.66     24.00   -42.4%      24.0      0.0     26.15      НЕТ ISSUE  
s1x64            4     43.02      6.00   -86.1%       6.0      0.0     13.00      НЕТ ISSUE  
s1x64            8     44.03     12.00   -72.7%      12.0      0.0     14.00      НЕТ ISSUE  
s1x64           12     45.04     18.00   -60.0%      18.0      0.0     20.96      НЕТ ISSUE  
s1x64           16     46.70     24.00   -48.6%      24.0      0.0     26.15      НЕТ ISSUE  
s2x128           4     57.12     16.00   -72.0%      16.0     16.0     48.00      НЕТ MIO    
s2x128           8     64.05     32.00   -50.0%      32.0     16.0     48.00      НЕТ MIO    
s2x128          12     98.06     48.00   -51.0%      48.0     16.0     96.00      НЕТ MIO    
s2x128          16    128.06     64.00   -50.0%      64.0     16.0     48.00      НЕТ MIO    
s2x32            4     46.02      6.00   -87.0%       6.0      0.0     13.00      НЕТ ISSUE  
s2x32            8     46.02     12.00   -73.9%      12.0      0.0     14.00      НЕТ ISSUE  
s2x32           12     48.03     18.00   -62.5%      18.0      0.0     20.96      НЕТ ISSUE  
s2x32           16     48.16     24.00   -50.2%      24.0      0.0     26.15      НЕТ ISSUE  
s4x128           4     75.39     32.00   -57.6%      32.0     32.0     80.00       да MIO    
s4x128           8    130.05     64.00   -50.8%      64.0     32.0    130.00       да MIO    
s4x128          12    192.06     96.00   -50.0%      96.0     32.0    192.00       да MIO    
s4x128          16    256.07    128.00   -50.0%     128.0     32.0    260.00       да MIO    
s4x32            4     45.02     16.00   -64.5%      16.0      8.0     40.00      НЕТ MIO    
s4x32            8     46.08     32.00   -30.6%      32.0      8.0     40.00      НЕТ MIO    
s4x32           12     50.75     48.00    -5.4%      48.0      8.0     48.00      НЕТ MIO    
s4x32           16     64.22     64.00    -0.3%      64.0      8.0     65.85       да MIO    
s4x64            4     55.03     16.00   -70.9%      16.0     16.0     52.00      НЕТ MIO    
s4x64            8     64.05     32.00   -50.0%      32.0     16.0     54.07      НЕТ MIO    
s4x64           12     96.05     48.00   -50.0%      48.0     16.0     96.00       да MIO    
s4x64           16    128.54     64.00   -50.2%      64.0     16.0     56.04      НЕТ MIO    
s8x128           4    132.13     64.00   -51.6%      64.0     64.0    147.00       да MIO    
s8x128           8    261.01    128.00   -51.0%     128.0     64.0    160.00      НЕТ MIO    
s8x128          12    384.09    192.00   -50.0%     192.0     64.0    384.00       да MIO    
s8x128          16    514.69    256.00   -50.3%     256.0     64.0    160.00      НЕТ MIO    
s8x128d1         4    132.13     64.00   -51.6%      64.0     64.0    147.00       да MIO    
s8x128d1         8    261.07    128.00   -51.0%     128.0     64.0    160.00      НЕТ MIO    
s8x128d1        12    384.08    192.00   -50.0%     192.0     64.0    384.00       да MIO    
s8x128d1        16    515.00    256.00   -50.3%     256.0     64.0    160.00      НЕТ MIO    
s8x128d16        4     99.66     64.00   -35.8%      64.0     64.0    147.00       да MIO    
s8x128d16        8    134.41    128.00    -4.8%     128.0     64.0    160.00       да MIO    
s8x128d16       12    194.71    192.00    -1.4%     192.0     64.0    384.00       да MIO    
s8x128d16       16    259.70    256.00    -1.4%     256.0     64.0    160.00      НЕТ MIO    
s8x128d2         4    101.03     64.00   -36.7%      64.0     64.0    147.00       да MIO    
s8x128d2         8    133.78    128.00    -4.3%     128.0     64.0    160.00       да MIO    
s8x128d2        12    194.64    192.00    -1.4%     192.0     64.0    384.00       да MIO    
s8x128d2        16    259.24    256.00    -1.3%     256.0     64.0    160.00      НЕТ MIO    
s8x128d32        4     97.04     64.00   -34.0%      64.0     64.0    151.00       да MIO    
s8x128d32        8    135.09    128.00    -5.3%     128.0     64.0    160.00       да MIO    
s8x128d32       12    194.23    192.00    -1.1%     192.0     64.0    384.00       да MIO    
s8x128d32       16    257.91    256.00    -0.7%     256.0     64.0    160.00      НЕТ MIO    
s8x128d4         4    100.84     64.00   -36.5%      64.0     64.0    147.00       да MIO    
s8x128d4         8    133.76    128.00    -4.3%     128.0     64.0    160.00       да MIO    
s8x128d4        12    194.50    192.00    -1.3%     192.0     64.0    384.00       да MIO    
s8x128d4        16    259.25    256.00    -1.3%     256.0     64.0    160.00      НЕТ MIO    
s8x128d8         4    101.03     64.00   -36.7%      64.0     64.0    147.00       да MIO    
s8x128d8         8    133.78    128.00    -4.3%     128.0     64.0    160.00       да MIO    
s8x128d8        12    194.64    192.00    -1.4%     192.0     64.0    384.00       да MIO    
s8x128d8        16    259.24    256.00    -1.2%     256.0     64.0    160.00      НЕТ MIO    
s8x32            4     61.02     32.00   -47.6%      32.0     16.0     56.00      НЕТ MIO    
s8x32            8     67.37     64.00    -5.0%      64.0     16.0     56.00      НЕТ MIO    
s8x32           12     96.84     96.00    -0.9%      96.0     16.0     96.00       да MIO    
s8x32           16    128.91    128.00    -0.7%     128.0     16.0    127.30       да MIO    
s8x32d1          4     61.02     32.00   -47.6%      32.0     16.0     56.00      НЕТ MIO    
s8x32d1          8     67.29     64.00    -4.9%      64.0     16.0     56.00      НЕТ MIO    
s8x32d1         12     96.83     96.00    -0.9%      96.0     16.0     96.00       да MIO    
s8x32d1         16    128.92    128.00    -0.7%     128.0     16.0    127.30       да MIO    
s8x32d16         4     59.02     32.00   -45.8%      32.0     16.0     56.00      НЕТ MIO    
s8x32d16         8     64.71     64.00    -1.1%      64.0     16.0     56.00      НЕТ MIO    
s8x32d16        12     96.88     96.00    -0.9%      96.0     16.0     96.00       да MIO    
s8x32d16        16    128.76    128.00    -0.6%     128.0     16.0    127.30       да MIO    
s8x32d2          4     59.02     32.00   -45.8%      32.0     16.0     56.00      НЕТ MIO    
s8x32d2          8     64.81     64.00    -1.2%      64.0     16.0     56.00      НЕТ MIO    
s8x32d2         12     96.92     96.00    -1.0%      96.0     16.0     96.00       да MIO    
s8x32d2         16    128.75    128.00    -0.6%     128.0     16.0    127.30       да MIO    
s8x32d32         4     59.02     32.00   -45.8%      32.0     16.0     56.00      НЕТ MIO    
s8x32d32         8     64.80     64.00    -1.2%      64.0     16.0     56.00      НЕТ MIO    
s8x32d32        12     96.86     96.00    -0.9%      96.0     16.0     96.00       да MIO    
s8x32d32        16    128.65    128.00    -0.5%     128.0     16.0    127.30       да MIO    
s8x32d4          4     59.02     32.00   -45.8%      32.0     16.0     56.00      НЕТ MIO    
s8x32d4          8     66.09     64.00    -3.2%      64.0     16.0     56.00      НЕТ MIO    
s8x32d4         12     96.78     96.00    -0.8%      96.0     16.0     96.00       да MIO    
s8x32d4         16    128.76    128.00    -0.6%     128.0     16.0    127.30       да MIO    
s8x32d8          4     59.02     32.00   -45.8%      32.0     16.0     56.00      НЕТ MIO    
s8x32d8          8     64.74     64.00    -1.1%      64.0     16.0     56.00      НЕТ MIO    
s8x32d8         12     96.90     96.00    -0.9%      96.0     16.0     96.00       да MIO    
s8x32d8         16    128.75    128.00    -0.6%     128.0     16.0    127.30       да MIO    
s8x64            4     92.07     32.00   -65.2%      32.0     32.0     87.00      НЕТ MIO    
s8x64            8    128.06     64.00   -50.0%      64.0     32.0    130.00       да MIO    
s8x64           12    192.23     96.00   -50.1%      96.0     32.0    192.00       да MIO    
s8x64           16    256.48    128.00   -50.1%     128.0     32.0    260.00       да MIO    
s8x64d1          4     92.07     32.00   -65.2%      32.0     32.0     87.00      НЕТ MIO    
s8x64d1          8    128.06     64.00   -50.0%      64.0     32.0    130.00       да MIO    
