# warps=16 (на планировщик 4.00)  iters=2000  blocks=80  reps=7
вариант      NH    NI    NC    NP    NS    SW    NF | тактов/ит     мин
h1                   1     0     0     1     0    32     0 |    51.7470    51.7470
h2                   2     0     0     1     0    32     0 |    82.1015    82.1015
h4                   4     0     0     1     0    32     0 |   140.1825   140.1825
h8                   8     0     0     1     0    32     0 |   280.2245   280.2095
h16                 16     0     0     1     0    32     0 |   524.4375   524.3930
h8+i1                8     1     0     1     0    32     0 |   276.3155   276.2785
h8+i2                8     2     0     1     0    32     0 |   288.2650   288.2425
h8+i4                8     4     0     1     0    32     0 |   296.1785   296.1570
h8+i6                8     6     0     1     0    32     0 |   297.8535   297.7870
h8+i8                8     8     0     1     0    32     0 |   306.3330   306.3175
h8+i12               8    12     0     1     0    32     0 |   337.6590   337.5895
h8+i16               8    16     0     1     0    32     0 |   356.2695   356.2445
h8+i24               8    24     0     1     0    32     0 |   371.3740   371.3575
h8+c1                8     0     1     1     0    32     0 |   285.2290   285.1835
h8+c2                8     0     2     1     0    32     0 |   296.2735   296.2145
h8+c4                8     0     4     1     0    32     0 |   310.1375   310.1320
h8+c6                8     0     6     1     0    32     0 |   324.0970   324.0930
h8+c8                8     0     8     1     0    32     0 |   350.0290   350.0080
h8+c12               8     0    12     1     0    32     0 |   389.8720   389.8550
h8+c16               8     0    16     1     0    32     0 |   396.3600   396.2985
h8+c24               8     0    24     1     0    32     0 |   547.6965   547.6840
h8+s1x32             8     0     0     1     1    32     0 |   281.2455   281.2250
h8+s2x32             8     0     0     1     2    32     0 |   310.4965   310.2020
h8+s4x32             8     0     0     1     4    32     0 |   305.0020   304.1345
h8+s8x32             8     0     0     1     8    32     0 |   338.8985   338.6210
h8+s16x32            8     0     0     1    16    32     0 |   403.5015   403.4740
h8+s1x64             8     0     0     1     1    64     0 |   279.2265   279.2160
h8+s2x64             8     0     0     1     2    64     0 |   279.2860   279.2585
h8+s4x64             8     0     0     1     4    64     0 |   324.2170   324.1545
h8+s8x64             8     0     0     1     8    64     0 |   352.1155   352.0500
h8+s1x128            8     0     0     1     1   128     0 |   287.2475   287.1995
h8+s2x128            8     0     0     1     2   128     0 |   313.1400   313.0915
h8+s4x128            8     0     0     1     4   128     0 |   329.6810   329.6685
h8+s8x128            8     0     0     1     8   128     0 |   561.6015   561.5540
h8+f4                8     0     0     1     0    32     4 |   296.3460   296.3435
h8+f8                8     0     0     1     0    32     8 |   314.0145   311.8530
h8+f16               8     0     0     1     0    32    16 |   345.7410   345.7300
i8                   0     8     0     1     0    32     0 |    81.4880    81.4840
i16                  0    16     0     1     0    32     0 |   144.0380   144.0380
c16                  0     0    16     1     0    32     0 |   147.4290   147.4280
s8x32                0     0     0     1     8    32     0 |   128.9095   128.8970
s8x64                0     0     0     1     8    64     0 |   256.4765   256.4680
s8x128               0     0     0     1     8   128     0 |   514.6860   514.5755
f16                  0     0     0     1     0    32    16 |   132.1755   132.1740
h8+i8+s4x64          8     8     0     1     4    64     0 |   330.9945   330.9585
h8+c8+s4x64          8     0     8     1     4    64     0 |   404.1025   403.9865
c1                   0     0     1     1     0    32     0 |    31.7615    30.3095
c2                   0     0     2     1     0    32     0 |    40.9075    40.8885
c4                   0     0     4     1     0    32     0 |    52.5545    52.5495
c8                   0     0     8     1     0    32     0 |    83.0400    83.0315
c32                  0     0    32     1     0    32     0 |   276.0745   276.0610
i1                   0     1     0     1     0    32     0 |    31.7460    31.7460
i2                   0     2     0     1     0    32     0 |    32.8490    32.8465
i4                   0     4     0     1     0    32     0 |    49.5835    49.5835
i32                  0    32     0     1     0    32     0 |   274.0290   273.7430
s1x32                0     0     0     1     1    32     0 |    41.6640    41.6555
s2x32                0     0     0     1     2    32     0 |    48.1650    48.1525
s4x32                0     0     0     1     4    32     0 |    64.2200    64.2025
s16x32               0     0     0     1    16    32     0 |   256.9610   256.9475
s1x64                0     0     0     1     1    64     0 |    46.7040    46.7025
s4x64                0     0     0     1     4    64     0 |   128.5400   128.4760
s2x128               0     0     0     1     2   128     0 |   128.0605   128.0600
s4x128               0     0     0     1     4   128     0 |   256.0675   256.0670
f4                   0     0     0     1     0    32     4 |    47.5695    47.5690
f8                   0     0     0     1     0    32     8 |    72.6870    72.6870
f32                  0     0     0     1     0    32    32 |   261.3280   261.3150
h4+i8                4     8     0     1     0    32     0 |   176.3205   175.9225
h4+c8                4     0     8     1     0    32     0 |   204.2265   204.1970
h16+i8              16     8     0     1     0    32     0 |   554.9235   554.9200
h16+c8              16     0     8     1     0    32     0 |   580.3640   580.3595
h16+s8x64           16     0     0     1     8    64     0 |   575.9750   575.8970
h2+i16               2    16     0     1     0    32     0 |   189.6155   189.6155
h8+i8+c8             8     8     8     1     0    32     0 |   410.5215   410.5000
h8+f8+s4x64          8     0     0     1     4    64     8 |   338.4315   338.3990
h8+c8x1              8     0     8     1     0    32     0 |   350.0440   350.0225
h8+c4x2              8     0     4     2     0    32     0 |   361.3155   360.7580
h8+c2x4              8     0     2     4     0    32     0 |   319.6675   319.6575
h8+c1x8              8     0     1     8     0    32     0 |   334.2330   334.2260
h8+c16x1             8     0    16     1     0    32     0 |   396.3600   396.3170
h8+c8x2              8     0     8     2     0    32     0 |   394.3785   394.3750
h8+c4x4              8     0     4     4     0    32     0 |   372.8585   372.6610
h8+c2x8              8     0     2     8     0    32     0 |   387.6305   387.5900
c16x1                0     0    16     1     0    32     0 |   147.4280   147.4270
c8x2                 0     0     8     2     0    32     0 |   144.8675   144.8635
c4x4                 0     0     4     4     0    32     0 |   144.0650   144.0610
c2x8                 0     0     2     8     0    32     0 |   144.8625   144.8610
c1x16                0     0     1    16     0    32     0 |   144.0300   144.0285
c32x1                0     0    32     1     0    32     0 |   276.0630   276.0525
c16x2                0     0    16     2     0    32     0 |   272.6570   272.6520
c8x4                 0     0     8     4     0    32     0 |   274.0615   273.9120
