# warps=8 (на планировщик 2.00)  iters=2000  blocks=80  reps=7
вариант      NH    NI    NC    NP    NS    SW    NF | тактов/ит     мин
h1                   1     0     0     1     0    32     0 |    35.0345    35.0345
h2                   2     0     0     1     0    32     0 |    41.4465    41.4465
h4                   4     0     0     1     0    32     0 |    70.0840    70.0840
h8                   8     0     0     1     0    32     0 |   134.0910   134.0910
h16                 16     0     0     1     0    32     0 |   262.1340   262.1065
h8+i1                8     1     0     1     0    32     0 |   132.0905   132.0905
h8+i2                8     2     0     1     0    32     0 |   138.0865   138.0865
h8+i4                8     4     0     1     0    32     0 |   142.0920   142.0920
h8+i6                8     6     0     1     0    32     0 |   140.0920   140.0920
h8+i8                8     8     0     1     0    32     0 |   144.0945   144.0940
h8+i12               8    12     0     1     0    32     0 |   173.3615   164.6855
h8+i16               8    16     0     1     0    32     0 |   176.1095   176.1095
h8+i24               8    24     0     1     0    32     0 |   176.0925   176.0920
h8+c1                8     0     1     1     0    32     0 |   136.0910   136.0910
h8+c2                8     0     2     1     0    32     0 |   142.0920   142.0920
h8+c4                8     0     4     1     0    32     0 |   146.0940   146.0940
h8+c6                8     0     6     1     0    32     0 |   150.0965   150.0965
h8+c8                8     0     8     1     0    32     0 |   162.0940   162.0940
h8+c12               8     0    12     1     0    32     0 |   176.0925   176.0925
h8+c16               8     0    16     1     0    32     0 |   192.5850   192.5850
h8+c24               8     0    24     1     0    32     0 |   236.0790   236.0750
h8+s1x32             8     0     0     1     1    32     0 |   134.0905   134.0905
h8+s2x32             8     0     0     1     2    32     0 |   137.1000   136.1720
h8+s4x32             8     0     0     1     4    32     0 |   151.1085   151.1085
h8+s8x32             8     0     0     1     8    32     0 |   154.0955   154.0955
h8+s16x32            8     0     0     1    16    32     0 |   187.3440   186.9610
h8+s1x64             8     0     0     1     1    64     0 |   132.0910   132.0910
h8+s2x64             8     0     0     1     2    64     0 |   130.0920   130.0920
h8+s4x64             8     0     0     1     4    64     0 |   145.4415   145.4415
h8+s8x64             8     0     0     1     8    64     0 |   164.2400   164.1665
h8+s1x128            8     0     0     1     1   128     0 |   136.0910   136.0910
h8+s2x128            8     0     0     1     2   128     0 |   148.0770   148.0615
h8+s4x128            8     0     0     1     4   128     0 |   184.9960   184.9960
h8+s8x128            8     0     0     1     8   128     0 |   299.2000   299.1655
h8+f4                8     0     0     1     0    32     4 |   141.1100   141.1100
h8+f8                8     0     0     1     0    32     8 |   151.7245   151.7155
h8+f16               8     0     0     1     0    32    16 |   168.6565   168.6565
i8                   0     8     0     1     0    32     0 |    45.0270    45.0270
i16                  0    16     0     1     0    32     0 |    72.0230    72.0230
c16                  0     0    16     1     0    32     0 |    79.0805    79.0790
s8x32                0     0     0     1     8    32     0 |    67.3735    67.3020
s8x64                0     0     0     1     8    64     0 |   128.0580   128.0570
s8x128               0     0     0     1     8   128     0 |   261.0095   260.0795
f16                  0     0     0     1     0    32    16 |    66.1075    66.1070
h8+i8+s4x64          8     8     0     1     4    64     0 |   158.0895   158.0895
h8+c8+s4x64          8     0     8     1     4    64     0 |   189.3760   189.1715
c1                   0     0     1     1     0    32     0 |    27.0805    27.0800
c2                   0     0     2     1     0    32     0 |    32.0770    32.0755
c4                   0     0     4     1     0    32     0 |    32.0790    32.0785
c8                   0     0     8     1     0    32     0 |    47.0790    47.0790
c32                  0     0    32     1     0    32     0 |   143.0855   143.0790
i1                   0     1     0     1     0    32     0 |    26.0215    26.0215
i2                   0     2     0     1     0    32     0 |    28.0230    28.0230
i4                   0     4     0     1     0    32     0 |    27.0250    27.0250
i32                  0    32     0     1     0    32     0 |   136.0255   136.0255
s1x32                0     0     0     1     1    32     0 |    38.0300    38.0300
s2x32                0     0     0     1     2    32     0 |    46.0215    46.0205
s4x32                0     0     0     1     4    32     0 |    46.0795    46.0785
s16x32               0     0     0     1    16    32     0 |   134.0430   133.9930
s1x64                0     0     0     1     1    64     0 |    44.0340    44.0330
s4x64                0     0     0     1     4    64     0 |    64.0535    64.0530
s2x128               0     0     0     1     2   128     0 |    64.0480    64.0480
s4x128               0     0     0     1     4   128     0 |   130.0520   129.1130
f4                   0     0     0     1     0    32     4 |    33.0890    33.0885
f8                   0     0     0     1     0    32     8 |    39.3505    39.3495
f32                  0     0     0     1     0    32    32 |   130.1465   130.1405
h4+i8                4     8     0     1     0    32     0 |    80.0870    80.0870
h4+c8                4     0     8     1     0    32     0 |   104.0810   104.0810
h16+i8              16     8     0     1     0    32     0 |   272.1505   272.1125
h16+c8              16     0     8     1     0    32     0 |   290.1075   290.1030
h16+s8x64           16     0     0     1     8    64     0 |   284.1110   283.9740
h2+i16               2    16     0     1     0    32     0 |    94.0600    94.0580
h8+i8+c8             8     8     8     1     0    32     0 |   171.5350   171.5350
h8+f8+s4x64          8     0     0     1     4    64     8 |   166.1320   166.1250
h8+c8x1              8     0     8     1     0    32     0 |   162.0940   162.0940
h8+c4x2              8     0     4     2     0    32     0 |   156.0830   156.0830
h8+c2x4              8     0     2     4     0    32     0 |   154.8375   154.8370
h8+c1x8              8     0     1     8     0    32     0 |   169.7070   169.7060
h8+c16x1             8     0    16     1     0    32     0 |   192.5850   192.5850
h8+c8x2              8     0     8     2     0    32     0 |   169.0905   169.0905
h8+c4x4              8     0     4     4     0    32     0 |   181.3090   181.3085
h8+c2x8              8     0     2     8     0    32     0 |   186.7475   186.7470
c16x1                0     0    16     1     0    32     0 |    79.0795    79.0790
c8x2                 0     0     8     2     0    32     0 |    72.0830    72.0820
c4x4                 0     0     4     4     0    32     0 |    72.0825    72.0815
c2x8                 0     0     2     8     0    32     0 |    72.0745    72.0740
c1x16                0     0     1    16     0    32     0 |    72.0630    72.0610
c32x1                0     0    32     1     0    32     0 |   143.0855   143.0785
c16x2                0     0    16     2     0    32     0 |   138.1935   138.1910
c8x4                 0     0     8     4     0    32     0 |   137.0860   137.0825
