# warps=12 (на планировщик 3.00)  iters=2000  blocks=80  reps=7
вариант      NH    NI    NC    NP    NS    SW    NF | тактов/ит     мин
h1                   1     0     0     1     0    32     0 |    42.5485    42.5485
h2                   2     0     0     1     0    32     0 |    61.9670    61.9670
h4                   4     0     0     1     0    32     0 |   105.1305   105.1300
h8                   8     0     0     1     0    32     0 |   201.1640   201.1635
h16                 16     0     0     1     0    32     0 |   405.1715   405.1195
h8+i1                8     1     0     1     0    32     0 |   208.0875   208.0865
h8+i2                8     2     0     1     0    32     0 |   215.5415   215.5225
h8+i4                8     4     0     1     0    32     0 |   220.1310   220.0115
h8+i6                8     6     0     1     0    32     0 |   223.1395   222.5615
h8+i8                8     8     0     1     0    32     0 |   225.1465   225.1460
h8+i12               8    12     0     1     0    32     0 |   252.3925   252.3570
h8+i16               8    16     0     1     0    32     0 |   267.7165   267.5620
h8+i24               8    24     0     1     0    32     0 |   277.5980   275.3230
h8+c1                8     0     1     1     0    32     0 |   204.1705   204.1645
h8+c2                8     0     2     1     0    32     0 |   213.1805   213.1625
h8+c4                8     0     4     1     0    32     0 |   219.1675   219.1675
h8+c6                8     0     6     1     0    32     0 |   225.1645   225.1640
h8+c8                8     0     8     1     0    32     0 |   243.1545   243.1490
h8+c12               8     0    12     1     0    32     0 |   267.1555   267.1460
h8+c16               8     0    16     1     0    32     0 |   297.1520   297.1515
h8+c24               8     0    24     1     0    32     0 |   405.9510   405.3885
h8+s1x32             8     0     0     1     1    32     0 |   201.1750   201.1515
h8+s2x32             8     0     0     1     2    32     0 |   205.9625   204.3735
h8+s4x32             8     0     0     1     4    32     0 |   219.1715   219.1700
h8+s8x32             8     0     0     1     8    32     0 |   233.7880   233.7525
h8+s16x32            8     0     0     1    16    32     0 |   294.4980   294.4785
h8+s1x64             8     0     0     1     1    64     0 |   198.1565   198.1510
h8+s2x64             8     0     0     1     2    64     0 |   209.2100   206.6715
h8+s4x64             8     0     0     1     4    64     0 |   234.6990   234.6135
h8+s8x64             8     0     0     1     8    64     0 |   261.7365   261.7220
h8+s1x128            8     0     0     1     1   128     0 |   204.1560   204.1505
h8+s2x128            8     0     0     1     2   128     0 |   222.1820   222.1685
h8+s4x128            8     0     0     1     4   128     0 |   247.2400   246.7550
h8+s8x128            8     0     0     1     8   128     0 |   436.4750   436.4050
h8+f4                8     0     0     1     0    32     4 |   221.7020   221.5610
h8+f8                8     0     0     1     0    32     8 |   236.5040   236.5035
h8+f16               8     0     0     1     0    32    16 |   256.6655   256.6395
i8                   0     8     0     1     0    32     0 |    61.0380    61.0380
i16                  0    16     0     1     0    32     0 |   108.0300   108.0300
c16                  0     0    16     1     0    32     0 |   112.2225   112.2180
s8x32                0     0     0     1     8    32     0 |    96.8360    96.8225
s8x64                0     0     0     1     8    64     0 |   192.2295   192.2235
s8x128               0     0     0     1     8   128     0 |   384.0940   384.0695
f16                  0     0     0     1     0    32    16 |   100.5860   100.5820
h8+i8+s4x64          8     8     0     1     4    64     0 |   246.1610   246.1465
h8+c8+s4x64          8     0     8     1     4    64     0 |   295.7345   295.6990
c1                   0     0     1     1     0    32     0 |    27.0735    27.0725
c2                   0     0     2     1     0    32     0 |    36.0585    36.0575
c4                   0     0     4     1     0    32     0 |    41.0665    41.0660
c8                   0     0     8     1     0    32     0 |    62.5910    62.5865
c32                  0     0    32     1     0    32     0 |   208.3590   208.3520
i1                   0     1     0     1     0    32     0 |    27.0280    27.0280
i2                   0     2     0     1     0    32     0 |    29.4460    29.4455
i4                   0     4     0     1     0    32     0 |    39.5975    39.5975
i32                  0    32     0     1     0    32     0 |   205.0315   204.5955
s1x32                0     0     0     1     1    32     0 |    40.6635    40.2790
s2x32                0     0     0     1     2    32     0 |    48.0280    48.0225
s4x32                0     0     0     1     4    32     0 |    50.7475    50.7230
s16x32               0     0     0     1    16    32     0 |   193.6110   193.5850
s1x64                0     0     0     1     1    64     0 |    45.0380    45.0375
s4x64                0     0     0     1     4    64     0 |    96.0455    96.0450
s2x128               0     0     0     1     2   128     0 |    98.0575    98.0510
s4x128               0     0     0     1     4   128     0 |   192.0630   192.0600
f4                   0     0     0     1     0    32     4 |    40.5795    40.5735
f8                   0     0     0     1     0    32     8 |    56.0970    56.0955
f32                  0     0     0     1     0    32    32 |   196.3485   196.3320
h4+i8                4     8     0     1     0    32     0 |   129.2525   129.1540
h4+c8                4     0     8     1     0    32     0 |   155.4060   155.3940
h16+i8              16     8     0     1     0    32     0 |   421.1660   421.1655
h16+c8              16     0     8     1     0    32     0 |   460.9765   460.9545
h16+s8x64           16     0     0     1     8    64     0 |   433.0775   432.9625
h2+i16               2    16     0     1     0    32     0 |   141.0915   141.0890
h8+i8+c8             8     8     8     1     0    32     0 |   282.9025   279.4220
h8+f8+s4x64          8     0     0     1     4    64     8 |   249.2195   249.1770
h8+c8x1              8     0     8     1     0    32     0 |   243.1540   243.1495
h8+c4x2              8     0     4     2     0    32     0 |   249.7585   249.7425
h8+c2x4              8     0     2     4     0    32     0 |   238.4945   236.7580
h8+c1x8              8     0     1     8     0    32     0 |   251.9275   251.8530
h8+c16x1             8     0    16     1     0    32     0 |   297.1625   297.1515
h8+c8x2              8     0     8     2     0    32     0 |   271.2575   271.2565
h8+c4x4              8     0     4     4     0    32     0 |   275.4200   275.4195
h8+c2x8              8     0     2     8     0    32     0 |   283.3180   283.2800
c16x1                0     0    16     1     0    32     0 |   112.2210   112.2160
c8x2                 0     0     8     2     0    32     0 |   108.0760   108.0755
c4x4                 0     0     4     4     0    32     0 |   108.0745   108.0715
c2x8                 0     0     2     8     0    32     0 |   108.0645   108.0620
c1x16                0     0     1    16     0    32     0 |   108.0455   108.0450
c32x1                0     0    32     1     0    32     0 |   208.3620   208.3520
c16x2                0     0    16     2     0    32     0 |   205.1180   205.1150
c8x4                 0     0     8     4     0    32     0 |   204.3415   204.3340
